offset,IA,IB,IC,IN,VA,VB,VC,VN
0,5511556,5501156,5512856,5507006,22013484,22023957,22003010,21863711
1,5487505,5477105,5489455,5483605,21919221,21929694,21908747,21770495
2,5448504,5438103,5449154,5443953,21762116,21772590,21752690,21612343
3,5419253,5408852,5420553,5414702,21643764,21653191,21633291,21496086
4,5371801,5362050,5373751,5367901,21457334,21466760,21446860,21310703
5,5337999,5328249,5339300,5334099,21321176,21330603,21311750,21176640
6,5283397,5273647,5284697,5278847,21102277,21111704,21092851,20958789
7,5244396,5234646,5245696,5240496,20949362,20958789,20938889,20805874
8,5182644,5172893,5183944,5178744,20700090,20709516,20690664,20559743
9,5116341,5106591,5117641,5112441,20434059,20443486,20424633,20294760
10,5068239,5059789,5070189,5064989,20250771,20260197,20242392,20113566
11,4995437,4986336,4997387,4992187,19955414,19964841,19947036,19820305
12,4944085,4935634,4945385,4940185,19750131,19758510,19741752,19616069
13,4863482,4854381,4865432,4860232,19428591,19438017,19419164,19296623
14,4807580,4799129,4809530,4804329,19207597,19217023,19199218,19077724
15,4720476,4712026,4722426,4717226,18859872,18868251,18851493,18732094
16,4660024,4652224,4661974,4656774,18616884,18626310,18608505,18491200
17,4565771,4557970,4567721,4562520,18244023,18251354,18234596,18120434
18,4501418,4492968,4502718,4498168,17988466,17996845,17979040,17865924
19,4401314,4393514,4403264,4398064,17585231,17593610,17576852,17465832
20,4297310,4289510,4299261,4294060,17171522,17178854,17163144,17055265
21,4226458,4218658,4227758,4223208,16889782,16897113,16880355,16774572
22,4115954,4108803,4117904,4112704,16453031,16460363,16444652,16339916
23,4041201,4034051,4042501,4037951,16152438,16158722,16144059,16042465
24,3925497,3918996,3927447,3922246,15691598,15696835,15681124,15582672
25,3847494,3839693,3848794,3843593,15378436,15383673,15369010,15272653
26,3726589,3719439,3727889,3722689,14895602,14900839,14886176,14794008
27,3644036,3636886,3644686,3640136,14566730,14571967,14558351,14467230
28,3517931,3512081,3519231,3514681,14063995,14069232,14055616,13967638
29,3432778,3426278,3433428,3428878,13720460,13724650,13712081,13626197
30,3301473,3296273,3302773,3298223,13198873,13203063,13190494,13108800
31,3212420,3206570,3213720,3209170,12845912,12850101,12838580,12757933
32,3076565,3072015,3078515,3073965,12305472,12309662,12297093,12221683
33,2938760,2934209,2940060,2936160,11754559,11757701,11746180,11673912
34,2845806,2840606,2847106,2842556,11379603,11383792,11371224,11302098
35,2703451,2698251,2704101,2700201,10816121,10819263,10808790,10742806
36,2607247,2602697,2608547,2604647,10431739,10434881,10424407,10360518
37,2461642,2457742,2462942,2459692,9849405,9851500,9841026,9781326
38,2363488,2359588,2364788,2361538,9458738,9460833,9450359,9393802
39,2213332,2210082,2215282,2211382,8862789,8864883,8854410,8800994
40,2113229,2109979,2114529,2111279,8461648,8463743,8454317,8404043
