offset,IA,IB,IC,IN,VA,VB,VC,VN
0,-1655613,-1651712,-1654312,-1655613,-15725115,-15737683,-15728257,-15617236
1,-1691364,-1687464,-1690064,-1691364,-16064460,-16078076,-16068650,-15955535
2,-1664063,-1659513,-1662763,-1663413,-15806809,-15819377,-15810998,-15699978
3,-1569159,-1565259,-1567859,-1568509,-14900840,-14912361,-14903982,-14799245
4,-1419004,-1415104,-1417054,-1419004,-13477473,-13487946,-13480615,-13383210
5,-1215546,-1211646,-1214246,-1214896,-11550324,-11559750,-11553466,-11470724
6,-954236,-950986,-952936,-954236,-9064931,-9072262,-9069120,-9002089
7,-668226,-664975,-666275,-668226,-6350165,-6357496,-6355402,-6307223
8,-341913,-339963,-340613,-341913,-3248922,-3253111,-3254159,-3225880
9,-18201,-16901,-16901,-18201,-169673,-171768,-174910,-167579
10,306811,307461,308761,306161,2920049,2919001,2913764,2900149
11,635723,635073,637023,634423,6038050,6039097,6030718,5998250
12,923684,923034,925634,922384,8785284,8787378,8777952,8725584
13,1178494,1177844,1179794,1177194,11202598,11207835,11195267,11127188
14,1398852,1396902,1400802,1397552,13298373,13303609,13291041,13209347
15,1554858,1552908,1556808,1552908,14783534,14789818,14775155,14682987
16,1653011,1651061,1654962,1651061,15723019,15729303,15715687,15616188
17,1690063,1688113,1692013,1688113,16079122,16086454,16070744,15970197
18,1660812,1658862,1663412,1660162,15808903,15816234,15800524,15702072
19,1571108,1568508,1573058,1569158,14951112,14958444,14943781,14848470
20,1413802,1411852,1415103,1411852,13452335,13457572,13442909,13359120
21,1208395,1207095,1210345,1207745,11511571,11514713,11503192,11433018
22,960085,959435,961386,958785,9143482,9145577,9136150,9081688
23,660424,659774,661724,659124,6297796,6297796,6290464,6254854
24,348413,349063,350363,347763,3340041,3338994,3333757,3318047
25,25350,26000,27301,24700,262888,259746,256604,260793
26,-315262,-313962,-313962,-316562,-2976607,-2981844,-2981844,-2955660
27,-628574,-625974,-627274,-629224,-5950072,-5957404,-5956356,-5910272
28,-917835,-915235,-916535,-917835,-8702543,-8710922,-8708827,-8642843
29,-1185645,-1182395,-1183695,-1185645,-11243447,-11254968,-11248683,-11166989
30,-1394953,-1391053,-1393653,-1394953,-13236579,-13249148,-13241816,-13147553
31,-1552259,-1548359,-1550959,-1552259,-14736404,-14747925,-14740593,-14635857
32,-1655613,-1651712,-1654963,-1655613,-15721973,-15735588,-15727209,-15614094
33,-1691364,-1687464,-1690064,-1691364,-16061318,-16075981,-16065508,-15951345
34,-1660813,-1656913,-1659513,-1660813,-15777483,-15790051,-15781672,-15668557
35,-1569159,-1565259,-1567859,-1568509,-14903982,-14916550,-14908171,-14801340
36,-1419004,-1415754,-1417704,-1419004,-13479568,-13490041,-13483757,-13385305
37,-1204496,-1201246,-1203196,-1204496,-11441398,-11450825,-11445588,-11362846
38,-954236,-951636,-952936,-954886,-9071215,-9077499,-9075404,-9008373
39,-668876,-666275,-667576,-669526,-6355402,-6361686,-6360638,-6311412
40,-342563,-340613,-339963,-342563,-3254159,-3259395,-3260443,-3231117
41,-18851,-18201,-16901,-19501,-173863,-175958,-180147,-171768
42,306161,306161,307461,305511,2911670,2912717,2906433,2892817
43,635073,635073,637023,633773,6033860,6034907,6026529,5993013
44,923034,922384,924984,921734,8780047,8782142,8772715,8720347
45,1177844,1176544,1179144,1176544,11199456,11202598,11192125,11122999
46,1398202,1396252,1400152,1396902,13294183,13299420,13284757,13204110
47,1554858,1552258,1556158,1552908,14781439,14786676,14773060,14680892
48,1653011,1651061,1654311,1651061,15723019,15729303,15714640,15615140
49,1690713,1688113,1692013,1688113,16080170,16085407,16070744,15971244
50,1661462,1658862,1663412,1660162,15809950,15816234,15801571,15702072
51,1571108,1569158,1573058,1569808,14952159,14957396,14943781,14848470
52,1413802,1411852,1415103,1411852,13455477,13459667,13446051,13363309
53,1209695,1207745,1210345,1208395,11514713,11518902,11507381,11437208
54,960735,958785,962036,958785,9147671,9149766,9140340,9085877
55,660424,659774,661724,659124,6299890,6299890,6292559,6256948
56,349063,349713,351013,348413,3346326,3346326,3340041,3324331
57,26000,26650,27951,25350,269172,266030,262888,267077
58,-314612,-313962,-313962,-315912,-2972418,-2978702,-2979749,-2953565
59,-628574,-625974,-626624,-627924,-5942740,-5949025,-5949025,-5902941
60,-917835,-914585,-915885,-917185,-8699401,-8707780,-8705685,-8640749
61,-1184995,-1181745,-1183695,-1184995,-11237162,-11247636,-11242399,-11159658
62,-1394953,-1390403,-1393003,-1394303,-13231342,-13242863,-13236579,-13141269
63,-1558759,-1554859,-1557459,-1558759,-14792961,-14804482,-14797151,-14692414
64,-1655613,-1651712,-1654312,-1655613,-15724067,-15737683,-15729304,-15616189
65,-1691364,-1687464,-1690064,-1690714,-16064460,-16078076,-16068650,-15954487
66,-1661463,-1657563,-1660163,-1660813,-15780625,-15792146,-15783767,-15671699
67,-1569809,-1565259,-1567859,-1569159,-14908171,-14918645,-14911313,-14806577
68,-1419654,-1415754,-1418354,-1419654,-13482710,-13493183,-13487946,-13390542
69,-1205146,-1201246,-1203196,-1205146,-11449777,-11459203,-11455014,-11371225
70,-954886,-952286,-953586,-955536,-9072262,-9080641,-9077499,-9010468
71,-669526,-666925,-668226,-669526,-6360638,-6365875,-6365875,-6316649
72,-343213,-341263,-341263,-343863,-3260443,-3264632,-3266727,-3238448
73,-18851,-18201,-17551,-20151,-180147,-182242,-186431,-178052
74,305511,306161,307461,304861,2905386,2905386,2899101,2885486
75,634423,633773,635723,633123,6028623,6030718,6022339,5988823
76,922384,921734,924334,921084,8773763,8775857,8766431,8715110
77,1177194,1176544,1179144,1176544,11195267,11199456,11187935,11119857
78,1398202,1396252,1399502,1396902,13289994,13294183,13281615,13198873
79,1554208,1552258,1556158,1552908,14780392,14784581,14769918,14679845
80,1653011,1650411,1654311,1651061,15719877,15726161,15711498,15611998
81,1690713,1688113,1692013,1688763,16079122,16085407,16070744,15970197
82,1662112,1658862,1663412,1660162,15810997,15816234,15801571,15703119
83,1571758,1569158,1573058,1570458,14953207,14959491,14944828,14851613
84,1413802,1411852,1415753,1412502,13456525,13460714,13447098,13363309
85,1209045,1208395,1210995,1208395,11518902,11522044,11510523,11440350
86,960735,959435,962686,960085,9152908,9153956,9144529,9090066
87,661074,660424,662374,659774,6305127,6305127,6297796,6261138
88,349713,349713,351663,349063,3353657,3351562,3346326,3330615
89,26650,27301,27951,25350,274409,270219,268125,272314
90,-314612,-312662,-313312,-315262,-2965086,-2970323,-2970323,-2944139
91,-627924,-625324,-625974,-627924,-5937504,-5944835,-5943788,-5897704
92,-930835,-928235,-929535,-931485,-8822990,-8832416,-8829274,-8763290
93,-1184345,-1181095,-1183045,-1184345,-11236115,-11245541,-11241352,-11158610
94,-1394303,-1390403,-1393003,-1394303,-13230295,-13242863,-13235532,-13140222
95,-1558759,-1554859,-1557459,-1558109,-14794009,-14805530,-14798198,-14692414
96,-1655613,-1651062,-1654312,-1654963,-15721973,-15734541,-15726162,-15614094
97,-1691364,-1686814,-1690064,-1690714,-16062366,-16074934,-16065508,-15952392
98,-1660813,-1656913,-1659513,-1660813,-15781672,-15793193,-15784814,-15672746
99,-1569159,-1565909,-1567859,-1569809,-14912361,-14922834,-14915503,-14809719
100,-1419654,-1416404,-1418354,-1419654,-13486899,-13497373,-13490041,-13392636
101,-1205146,-1201896,-1203846,-1205146,-11452919,-11462346,-11457109,-11373320
102,-955536,-952936,-954236,-955536,-9078546,-9086925,-9082736,-9015705
103,-670176,-667576,-668226,-670176,-6366923,-6373207,-6371112,-6321886
104,-343213,-341913,-341913,-343863,-3265680,-3269869,-3269869,-3242638
105,-20151,-18851,-18851,-20801,-183289,-186431,-188526,-182242
106,304861,304861,306811,304211,2900149,2900149,2894912,2881296
107,633773,633123,635723,633123,6022339,6023386,6016055,5981492
108,922384,921734,923684,921084,8769573,8771668,8762242,8709874
109,1177194,1175894,1178494,1175894,11191077,11195267,11182699,11114620
110,1397552,1395602,1398852,1396252,13287899,13292088,13278473,13196778
111,1554208,1551608,1555508,1552258,14777250,14782487,14767823,14676703
112,1652361,1650411,1654962,1651711,15719877,15726161,15710451,15610951
113,1690713,1687463,1692013,1688763,16081217,16087501,16071791,15971244
114,1662112,1659512,1664062,1660162,15812045,15818329,15802619,15705214
115,1571758,1569808,1573708,1570458,14955302,14960538,14945875,14852660
116,1414452,1412502,1416403,1412502,13459667,13463856,13451288,13366451
117,1210345,1208395,1211645,1208395,11526234,11529376,11516807,11446634
118,961386,960735,963336,960085,9160240,9161287,9151861,9097398
119,661724,661074,663024,660424,6310364,6310364,6303032,6267422
120,350363,350363,351663,349713,3358894,3356799,3351562,3334805
121,11050,11700,11700,9750,127778,123588,121494,126730
122,-313962,-312012,-312012,-314612,-2960897,-2966134,-2967181,-2939950
123,-627274,-624674,-625324,-627274,-5934362,-5941693,-5939598,-5893514
124,-930835,-928235,-929535,-930835,-8818800,-8828227,-8824037,-8759101
125,-1183695,-1181095,-1182395,-1183695,-11230878,-11241352,-11236115,-11153373
126,-1393653,-1389753,-1393003,-1393653,-13224011,-13235532,-13228200,-13132890
127,-1558109,-1554209,-1556809,-1558109,-14792961,-14804482,-14797151,-14691367
