offset,IA,IB,IC,IN,VA,VB,VC,VN
0,61102,61752,62402,60452,1122773,1121726,1116489,1115442
1,61102,62402,63052,61102,1135341,1134294,1129057,1126963
2,62402,63052,64352,61752,1153147,1151052,1145815,1144768
3,63052,63702,65002,62402,1163620,1161526,1157336,1155241
4,63702,65002,65652,63052,1179331,1177236,1173047,1170952
5,64352,65002,66302,63702,1189804,1187710,1182473,1181425
6,65002,66302,66952,64352,1203420,1201325,1197136,1193994
7,65652,66952,67602,65652,1217036,1214941,1209704,1207610
8,66302,66952,68252,65652,1224367,1222273,1218083,1215988
9,66952,67602,68902,66302,1235888,1233794,1229604,1227509
10,66952,68252,68902,66302,1243220,1241125,1235888,1234841
11,67602,68902,69552,66952,1252646,1250551,1246362,1244267
12,68252,68902,70202,67602,1257883,1255788,1251599,1249504
13,68252,69552,70202,67602,1266262,1264167,1258930,1257883
14,68902,70202,70852,68252,1272546,1270451,1266262,1264167
15,68902,70202,70852,68252,1276735,1274641,1270451,1268357
16,68902,70852,71502,68252,1281972,1279878,1275688,1272546
17,69552,70852,71502,68902,1285114,1283020,1278830,1275688
18,69552,70852,71502,68902,1287209,1286162,1281972,1278830
19,69552,70852,71502,68902,1289304,1287209,1283020,1280925
20,69552,71502,71502,68902,1290351,1289304,1285114,1281972
21,69552,70852,71502,68902,1291399,1289304,1285114,1283020
22,69552,70852,72152,68902,1291399,1289304,1285114,1281972
23,69552,70852,71502,68902,1289304,1288256,1284067,1280925
24,69552,70852,71502,68902,1288256,1286162,1283020,1278830
25,68902,70852,70852,68902,1285114,1283020,1278830,1276735
26,68902,70202,70852,68252,1281972,1280925,1276735,1273593
27,68902,70202,70852,68252,1276735,1275688,1271499,1269404
28,68902,69552,70202,67602,1271499,1269404,1265214,1263120
29,68252,69552,70202,67602,1266262,1265214,1261025,1257883
30,68252,69552,69552,67602,1258930,1256836,1253693,1250551
31,67602,68902,69552,66952,1252646,1251599,1247409,1244267
32,66952,68252,68902,66302,1243220,1242172,1237983,1234841
33,66952,68252,68252,66302,1235888,1234841,1230651,1227509
34,65652,66952,67602,65652,1225415,1223320,1219131,1215988
35,65652,66302,66952,65002,1212846,1211799,1206562,1204467
36,65002,66302,66952,64352,1204467,1202373,1198183,1196089
37,64352,65002,65652,63702,1190852,1188757,1184568,1181425
38,63702,65002,65652,63052,1180378,1179331,1175141,1171999
39,63052,64352,65002,62402,1164668,1163620,1158383,1156289
40,62402,63052,64352,61752,1154194,1152099,1147910,1145815
41,61102,62402,63702,60452,1136389,1135341,1131152,1128010
42,60452,61102,62402,59802,1118584,1116489,1112299,1111252
43,59802,60452,61102,59152,1106015,1103921,1099731,1098684
