offset,IA,IB,IC,IN,VA,VB,VC,VN
0,3902746,3895595,3903396,3898846,17814604,17821935,17807272,17694157
1,3870895,3863094,3871545,3866994,17671115,17679494,17663783,17552763
2,3819543,3813042,3820843,3816292,17438600,17444884,17430221,17320248
3,3783791,3777291,3785091,3780541,17276259,17282543,17267880,17157907
4,3727889,3721389,3729189,3724639,17020702,17026986,17012323,16905492
5,3668087,3661587,3669387,3664837,16749435,16755719,16741056,16636320
6,3627135,3620635,3627785,3623885,16563004,16569289,16554625,16450936
7,3562133,3556283,3564083,3559533,16269743,16274979,16261364,16159769
8,3517931,3512081,3519231,3515331,16066554,16071791,16057128,15957628
9,3448379,3443178,3449679,3445779,15751298,15755487,15741871,15643419
10,3400927,3395077,3402227,3398327,15530304,15535541,15521925,15425568
11,3326824,3320974,3328124,3323574,15193053,15198290,15184674,15091459
12,3275472,3270272,3276772,3273522,14962633,14966823,14953207,14859991
13,3196819,3191619,3198119,3194219,14602340,14607577,14593961,14503888
14,3142217,3137017,3143517,3139617,14358304,14363541,14349925,14260900
15,3059014,3054464,3060964,3057064,13977064,13981254,13968685,13882801
16,2973861,2968661,2975161,2971261,13586398,13590587,13579066,13495277
17,2914709,2910159,2916659,2912759,13317225,13322462,13309894,13227152
18,2825005,2821105,2826955,2823055,12909801,12913990,12903517,12822870
19,2763253,2759353,2765203,2761303,12630155,12634344,12622823,12544271
20,2669650,2665749,2671600,2667699,12201783,12205973,12195499,12119041
21,2605947,2602047,2607897,2603997,11912711,11915853,11906427,11832064
22,2509094,2505193,2511044,2506493,11466534,11470723,11460250,11389029
23,2442791,2438891,2444741,2440841,11165941,11169083,11158609,11089483
24,2342037,2338787,2343987,2340087,10706148,10709290,10698817,10633880
25,2273135,2269885,2275085,2271185,10394034,10397176,10386702,10323861
26,2169131,2165881,2171081,2167181,9919578,9922720,9913294,9852547
27,2098928,2095678,2100878,2096978,9595943,9599085,9589659,9532054
28,1992324,1989074,1993624,1990374,9108919,9111014,9102635,9048172
29,1883770,1880520,1885070,1881820,8614563,8616658,8607232,8555911
30,1809667,1806417,1811617,1807717,8281502,8282549,8274170,8224944
31,1698513,1695913,1699813,1696563,7772483,7773531,7765152,7720115
32,1623760,1621160,1625060,1621810,7427901,7428948,7420569,7377627
33,1510006,1508056,1511306,1508706,6910503,6911551,6904219,6863372
34,1433953,1431353,1435253,1432003,6561731,6562779,6555447,6516695
35,1317599,1315649,1318899,1316299,6035955,6035955,6028623,5994060
36,1239596,1238296,1240896,1238296,5679851,5680899,5673567,5641099
37,1121942,1120641,1123892,1120641,5142554,5142554,5136270,5106943
38,1043289,1041989,1044589,1041989,4782261,4782261,4775977,4749793
39,923684,922384,924984,922384,4240774,4240774,4234490,4211448
40,804080,803430,805380,802780,3693003,3691955,3686719,3667866
41,724127,723477,725427,722827,3327473,3325378,3321189,3303384
42,603222,602572,604522,601922,2776560,2775513,2771323,2757707
43,522619,522619,523919,521319,2406841,2405793,2400556,2390083
44,400415,400415,401715,399114,1851738,1849643,1845454,1839170
45,319161,319161,321112,318511,1479924,1476782,1473640,1469450
46,197607,197607,198907,196307,926916,923774,920632,919585
47,115704,116354,117004,115054,551960,549865,545676,548818
48,-7151,-6501,-5201,-7801,-8379,-12569,-14664,-8379
49,-88404,-87754,-87104,-89054,-381241,-385430,-387525,-379146
50,-210608,-209308,-209308,-211258,-938438,-942628,-944722,-933201
51,-332813,-330863,-330863,-332813,-1495635,-1500872,-1501920,-1485162
52,-413416,-412116,-412116,-414066,-1865355,-1870592,-1871639,-1852786
53,-535621,-534321,-534971,-536271,-2420457,-2425694,-2426742,-2404747
54,-616874,-614924,-615574,-616874,-2788082,-2793319,-2794366,-2770277
55,-737128,-735178,-735828,-737778,-3341090,-3346327,-3347374,-3319095
56,-817731,-815131,-815781,-817731,-3704525,-3710809,-3710809,-3680435
57,-937986,-935386,-936686,-937986,-4251249,-4257533,-4258580,-4224017
58,-1017289,-1014689,-1015989,-1017289,-4614684,-4620968,-4620968,-4584310
59,-1134943,-1132343,-1134293,-1134943,-5154076,-5161407,-5161407,-5120560
60,-1213596,-1210346,-1212296,-1213596,-5512274,-5518558,-5518558,-5475616
61,-1329950,-1326700,-1328650,-1329950,-6044335,-6051666,-6051666,-6004535
62,-1446305,-1442405,-1445005,-1446305,-6569064,-6577443,-6576395,-6526122
63,-1522358,-1518457,-1521057,-1522358,-6919931,-6928309,-6927262,-6874894
64,-1636112,-1632212,-1634162,-1635462,-7438375,-7446754,-7444660,-7389149
65,-1710865,-1706314,-1708915,-1710215,-7778768,-7787147,-7785053,-7727448
66,-1821369,-1817469,-1820069,-1821369,-8287787,-8297213,-8294071,-8233324
67,-1895472,-1890921,-1894171,-1895472,-8621896,-8630275,-8627133,-8564291
68,-2004026,-1998825,-2002726,-2003376,-9117299,-9126725,-9123583,-9056552
69,-2074878,-2070328,-2074228,-2074878,-9443029,-9452455,-9449313,-9380187
70,-2180832,-2175632,-2179532,-2180832,-9927958,-9937384,-9933195,-9860927
71,-2249735,-2244535,-2249085,-2250385,-10244262,-10253688,-10249499,-10175136
72,-2353089,-2347888,-2352439,-2353739,-10710339,-10720812,-10715575,-10638071
73,-2420691,-2415491,-2419391,-2420691,-11019311,-11029785,-11024548,-10945995
74,-2519495,-2514295,-2518845,-2519495,-11472819,-11484340,-11479103,-11396362
75,-2616999,-2611148,-2615698,-2616999,-11917949,-11928422,-11923185,-11837302
76,-2680051,-2674201,-2679401,-2680051,-12207021,-12218542,-12212258,-12124279
77,-2773654,-2767804,-2773004,-2773654,-12633298,-12644819,-12638535,-12548461
78,-2835407,-2829557,-2834757,-2834757,-12915039,-12926560,-12920275,-12828107
79,-2925110,-2918610,-2924460,-2924460,-13320368,-13331889,-13325605,-13230295
80,-2982962,-2977112,-2982312,-2982962,-13589541,-13602109,-13594777,-13498420
81,-3068765,-3062265,-3067465,-3068115,-13980207,-13992776,-13985444,-13885945
82,-3124018,-3117517,-3123368,-3123368,-14233669,-14245190,-14238906,-14136264
83,-3205271,-3198770,-3203971,-3204621,-14603388,-14615957,-14608625,-14504936
84,-3258573,-3251422,-3257273,-3257273,-14843235,-14855803,-14849519,-14743735
85,-3335275,-3328125,-3333975,-3333975,-15192007,-15204575,-15198291,-15090412
86,-3409378,-3402228,-3407428,-3407428,-15530305,-15542873,-15536589,-15426616
87,-3456830,-3449030,-3455530,-3454880,-15748157,-15761772,-15753393,-15641326
88,-3525733,-3517932,-3523783,-3524433,-16065508,-16078076,-16070745,-15956582
89,-3569934,-3562134,-3568634,-3568634,-16266602,-16280217,-16272886,-16157676
90,-3634287,-3625836,-3632337,-3632337,-16559863,-16573479,-16566147,-16448843
91,-3674588,-3666788,-3673288,-3673288,-16746294,-16759910,-16751531,-16633179
92,-3734390,-3725940,-3733090,-3733090,-17017561,-17031177,-17022798,-16903398
93,-3772092,-3763642,-3770792,-3770792,-17190376,-17203992,-17195613,-17073071
94,-3825394,-3816944,-3824094,-3824094,-17435459,-17450122,-17440696,-17318154
95,-3859845,-3850745,-3858545,-3858545,-17589421,-17604085,-17594658,-17470022
96,-3907947,-3899497,-3906647,-3906647,-17809368,-17824031,-17814605,-17688921
97,-3952799,-3944348,-3952149,-3951499,-18017793,-18032456,-18023030,-17895252
98,-3980750,-3972299,-3980100,-3979450,-18146619,-18162329,-18151856,-18024077
99,-4020401,-4011951,-4019751,-4019101,-18326765,-18342476,-18332002,-18203176
100,-4045102,-4036652,-4044452,-4043802,-18438833,-18454544,-18444070,-18314197
101,-4078903,-4070453,-4078253,-4077603,-18594890,-18610601,-18600127,-18469207
102,-4099704,-4090604,-4099054,-4098404,-18690200,-18704864,-18694390,-18562422
103,-4127655,-4118555,-4127005,-4126355,-18821121,-18835784,-18825310,-18693343
104,-4144556,-4136105,-4143906,-4143256,-18897578,-18912241,-18901768,-18769800
105,-4166657,-4158206,-4166657,-4165357,-19000220,-19015930,-19004409,-18871394
106,-4180957,-4171207,-4180307,-4179007,-19055730,-19071441,-19060967,-18927952
107,-4197208,-4188107,-4197208,-4195908,-19135330,-19151040,-19140567,-19006504
108,-4206308,-4197208,-4205658,-4205008,-19176177,-19191888,-19181414,-19047351
109,-4217359,-4208258,-4216058,-4214758,-19224356,-19240066,-19229593,-19094483
110,-4224509,-4215408,-4223209,-4222559,-19259966,-19275677,-19265203,-19130093
111,-4227109,-4218009,-4226459,-4225159,-19274629,-19290340,-19279866,-19144756
112,-4228409,-4219309,-4227759,-4226459,-19278819,-19295576,-19285103,-19149993
113,-4227109,-4218659,-4226459,-4225159,-19273582,-19290340,-19279866,-19144756
114,-4222559,-4214108,-4221909,-4220609,-19252635,-19269392,-19258919,-19123809
115,-4218009,-4208908,-4216708,-4216058,-19229593,-19245303,-19234829,-19100767
116,-4206958,-4198508,-4206308,-4205658,-19182461,-19199219,-19188745,-19053636
117,-4197858,-4190057,-4197858,-4196558,-19143709,-19160467,-19149993,-19015930
118,-4181607,-4172507,-4180957,-4180307,-19069346,-19086104,-19075630,-18941568
119,-4168607,-4160156,-4167307,-4166657,-19010694,-19027451,-19016978,-18882915
120,-4146506,-4137406,-4145856,-4144556,-18909099,-18925857,-18915384,-18782368
121,-4120505,-4112055,-4119855,-4119205,-18792842,-18808552,-18798079,-18665064
122,-4101654,-4093204,-4100354,-4100354,-18708006,-18723716,-18713242,-18580227
123,-4070453,-4062003,-4069153,-4068503,-18561375,-18577085,-18566612,-18436738
124,-4047052,-4039252,-4046402,-4046402,-18458733,-18474444,-18463970,-18335144
125,-4010651,-4002200,-4009351,-4009351,-18292202,-18307913,-18297439,-18168613
126,-3984000,-3975549,-3983350,-3982700,-18168613,-18183277,-18173850,-18046072
127,-3941098,-3932648,-3940448,-3940448,-17975899,-17991609,-17981135,-17854404
128,-3910547,-3902747,-3909897,-3909247,-17839741,-17854404,-17844978,-17719295
129,-3863095,-3854645,-3861795,-3861795,-17617700,-17631316,-17621890,-17498301
130,-3828644,-3821494,-3827994,-3827994,-17463738,-17477354,-17467927,-17345386
131,-3775342,-3767542,-3775342,-3774042,-17221797,-17235413,-17225986,-17103445
132,-3718790,-3711640,-3718140,-3718140,-16958909,-16972524,-16963098,-16843699
133,-3678488,-3671338,-3677838,-3677838,-16781904,-16795520,-16787141,-16668789
134,-3616736,-3609586,-3616086,-3615436,-16501211,-16513779,-16506448,-16389143
135,-3574484,-3566684,-3573184,-3573184,-16305354,-16317922,-16310591,-16195381
136,-3507532,-3500382,-3506232,-3506232,-15999524,-16012092,-16004761,-15890598
137,-3461380,-3454230,-3460080,-3460080,-15789004,-15801572,-15795288,-15682173
138,-3389878,-3382727,-3388577,-3388577,-15461179,-15473747,-15467463,-15357490
139,-3340476,-3333325,-3339176,-3339176,-15237043,-15249612,-15242280,-15133354
140,-3264423,-3256623,-3263123,-3263123,-14889319,-14900840,-14894555,-14787724
141,-3211121,-3203971,-3209821,-3209821,-14650520,-14662041,-14656804,-14551020
142,-3130518,-3123368,-3129218,-3129868,-14280801,-14292322,-14286037,-14182348
143,-3074616,-3068115,-3073966,-3073966,-14028386,-14039907,-14033623,-13933076
144,-2990113,-2982962,-2988812,-2988812,-13641909,-13652382,-13646098,-13548693
145,-2902359,-2895859,-2901059,-2901709,-13240769,-13251242,-13246005,-13150695
146,-2842557,-2836057,-2841257,-2841907,-12965312,-12975786,-12970549,-12877334
147,-2750254,-2743753,-2748953,-2749604,-12548461,-12558935,-12552651,-12463625
148,-2687851,-2681351,-2687201,-2687201,-12264626,-12274052,-12267768,-12180837
149,-2592298,-2585797,-2590998,-2591648,-11827875,-11837302,-11832065,-11747228
150,-2527295,-2521445,-2526645,-2526645,-11531472,-11540898,-11535661,-11452919
151,-2428491,-2422641,-2427191,-2427841,-11080058,-11088437,-11084247,-11004648
152,-2361539,-2355689,-2360239,-2360889,-10774228,-10783654,-10778417,-10700912
153,-2258185,-2252335,-2256885,-2257535,-10306056,-10314435,-10310246,-10235883
154,-2188632,-2183432,-2187332,-2187982,-9986611,-9994989,-9991847,-9918532
155,-2082679,-2078128,-2082029,-2082679,-9505871,-9514250,-9511108,-9441982
156,-1976075,-1970874,-1974774,-1975425,-9015705,-9024084,-9020941,-8953910
