1, 0, 217758, 217758, 218408, 216458, 6229717, 6231812, 6223433, 6187822
2, 1, 179406, 179406, 180706, 178106, 5139412, 5140459, 5133128, 5104849
3, 2, 131304, 132604, 133254, 130654, 3789360, 3789360, 3783076, 3764224
4, 3, 81903, 82553, 83203, 80603, 2359709, 2358662, 2353425, 2343999
5, 4, 28601, 29901, 29901, 27951, 843127, 839985, 836843, 837890
6, 5, -28602, -27952, -27302, -29902, -783428, -786570, -789713, -777144
7, 6, -82554, -81254, -80604, -83204, -2302105, -2307342, -2308389, -2287442
8, 7, -131955, -131305, -130655, -133255, -3734898, -3741183, -3742230, -3709762
9, 8, -179407, -178107, -178107, -180707, -5090187, -5096471, -5095423, -5055624
10, 9, -217759, -216459, -216459, -219059, -6187823, -6195155, -6194108, -6146976
11, 10, -248310, -247010, -247010, -249610, -7055040, -7062372, -7061325, -7007909
12, 11, -270411, -269111, -269111, -271061, -7682411, -7688695, -7686601, -7630043
13, 12, -280811, -279511, -279511, -282111, -7987194, -7995573, -7992431, -7933778
14, 13, -281461, -279511, -279511, -282111, -7995573, -8003952, -8000810, -7942157
15, 14, -270411, -269111, -269111, -271061, -7683458, -7690790, -7689743, -7631090
16, 15, -249610, -248310, -248310, -250260, -7095888, -7103219, -7102172, -7047709
17, 16, -219709, -218409, -218409, -220359, -6242286, -6248571, -6247523, -6199344
18, 17, -179407, -178757, -178107, -180057, -5097518, -5103802, -5103802, -5062955
19, 18, -134556, -133255, -133255, -135856, -3813451, -3818687, -3820782, -3788314
20, 19, -84504, -83204, -83204, -85154, -2386942, -2390084, -2391131, -2370184
21, 20, -28602, -27952, -27302, -29902, -791807, -793902, -797044, -786570
22, 21, 26650, 27301, 27301, 25350, 757243, 755149, 750959, 752006
23, 22, 79302, 79952, 80603, 78652, 2276968, 2276968, 2271731, 2262304
24, 23, 132604, 132604, 133905, 131304, 3782029, 3782029, 3775745, 3755845
25, 24, 177456, 178106, 179406, 176156, 5071333, 5072380, 5065049, 5036770
26, 25, 215808, 216458, 217758, 215158, 6175254, 6177349, 6168970, 6133360
27, 26, 248309, 248309, 249609, 247009, 7084366, 7086460, 7078081, 7037234
28, 27, 268460, 269110, 270410, 267160, 7682410, 7684505, 7676126, 7631089
29, 28, 279510, 280160, 281460, 278860, 8003951, 8006045, 7996619, 7949488
30, 29, 280160, 280160, 281460, 278210, 8003951, 8007093, 7997666, 7950535
31, 30, 269760, 269760, 270410, 268460, 7708594, 7711736, 7702310, 7657273
32, 31, 247659, 248309, 248959, 246359, 7090650, 7091697, 7083318, 7043518
33, 32, 217758, 217758, 219058, 216458, 6231812, 6233906, 6224480, 6189917
34, 33, 179406, 180056, 180706, 178106, 5141506, 5141506, 5135222, 5105896
35, 34, 131954, 132604, 133905, 131304, 3792502, 3792502, 3787266, 3767366
36, 35, 81903, 82553, 83203, 80603, 2363899, 2361804, 2356567, 2348188
37, 36, 28601, 29901, 29901, 27951, 845222, 842080, 837890, 838938
38, 37, -28602, -27302, -27302, -29902, -781334, -785523, -787618, -776097
39, 38, -82554, -80604, -80604, -83204, -2300011, -2304200, -2306295, -2284300
40, 39, -132605, -131305, -130655, -133255, -3732804, -3740135, -3740135, -3707667
41, 40, -179407, -178107, -178107, -180707, -5088092, -5094376, -5094376, -5053529
42, 41, -217759, -216459, -216459, -219059, -6185729, -6193060, -6193060, -6144882
43, 42, -248310, -247010, -247010, -248960, -7053993, -7060277, -7059230, -7005814
44, 43, -270411, -269111, -269111, -271061, -7681364, -7689743, -7687648, -7630043
45, 44, -281461, -279511, -279511, -282111, -7986146, -7994525, -7992431, -7932731
46, 45, -281461, -279511, -280161, -282111, -7994525, -8001857, -7999762, -7940062
47, 46, -269761, -269111, -269111, -271061, -7686601, -7692885, -7690790, -7633185
