offset,IA,IB,IC,IN,VA,VB,VC,VN
87,-304212,-302262,-302912,-304862,-2773419,-2777608,-2778656,-2755614
88,-34452,-33802,-33152,-35752,-310020,-312115,-316304,-307925
89,235958,236608,237908,235958,2158615,2157568,2152331,2143952
90,510919,511569,512869,510269,4666003,4666003,4659719,4633535
91,753378,752728,754678,751428,6880130,6881177,6872798,6832998
92,967886,967236,969836,966586,8831368,8834510,8825084,8772715
93,1153793,1153143,1155093,1152493,10536475,10539617,10529144,10466302
94,1287048,1285748,1288998,1285748,11757701,11761891,11750370,11678101
95,1376101,1373501,1377401,1374151,12569408,12572550,12561029,12482477
96,1408602,1406652,1409902,1407302,12860575,12865812,12852196,12773644
97,1387801,1385851,1389102,1386501,12678333,12682523,12671002,12592450
98,1311099,1309149,1312399,1309149,11980789,11986026,11973458,11899095
99,1188244,1186294,1189544,1186294,10858016,10862205,10850684,10784700
100,1020538,1019238,1022488,1019238,9335150,9337244,9326771,9270213
101,804080,803430,805380,803430,7361917,7361917,7354585,7310596
102,568121,567471,569421,566821,5201206,5200159,5193875,5165596
103,309411,310061,310711,308761,2847781,2845686,2840449,2827881
104,27301,27951,27951,26000,266030,262888,260793,262888
105,-243760,-242460,-242460,-244410,-2203653,-2208890,-2209937,-2188990
106,-506369,-504419,-505069,-507019,-4591642,-4598973,-4598973,-4562315
107,-760529,-757929,-759229,-760529,-6914694,-6923073,-6920978,-6868610
108,-974387,-971137,-973087,-974387,-8862790,-8872216,-8868026,-8803090
109,-1151194,-1147944,-1149894,-1151194,-10485156,-10494582,-10490392,-10412887
110,-1291599,-1288349,-1289649,-1290949,-11766081,-11776555,-11771318,-11686481
111,-1376102,-1372202,-1374152,-1375452,-12539035,-12550556,-12544272,-12454199
112,-1409903,-1406003,-1408603,-1409903,-12848007,-12859528,-12853244,-12761076
113,-1387802,-1383902,-1387152,-1387802,-12652150,-12663671,-12656340,-12566267
114,-1315000,-1311750,-1313700,-1314350,-11989169,-11998596,-11993359,-11907475
115,-1192795,-1189545,-1191495,-1192795,-10875822,-10884201,-10880012,-10801459
116,-1017939,-1014689,-1016639,-1017939,-9278593,-9286972,-9283830,-9214704
117,-811881,-809281,-810581,-811881,-7399623,-7405907,-7403812,-7349350
118,-575272,-573972,-574622,-575922,-5245196,-5251481,-5250433,-5208539
119,-304212,-302912,-302912,-305512,-2775514,-2779703,-2781798,-2755614
120,-35102,-34452,-33802,-36402,-317352,-320494,-323636,-315257
121,235958,236608,237258,234658,2154426,2153379,2149189,2140810
122,510919,510919,512219,509619,4662861,4662861,4656577,4630393
123,752728,752078,754028,752078,6875940,6876988,6869656,6829856
124,976986,976336,978936,976336,8919346,8921441,8912015,8858599
125,1153143,1152493,1155093,1151843,10533333,10536475,10526002,10462113
126,1287048,1285098,1288348,1285748,11754559,11758748,11748275,11676007
127,1375451,1373501,1376751,1374151,12566266,12570455,12558934,12481429
128,1408602,1406652,1409902,1407302,12861622,12866859,12853243,12774691
129,1387801,1385851,1389102,1386501,12679381,12683570,12671002,12593497
130,1311099,1309149,1312399,1309799,11983932,11987074,11975553,11901190
131,1188244,1186944,1189544,1186944,10860111,10863253,10852779,10785748
132,1021188,1020538,1022488,1020538,9336197,9338292,9328865,9272308
133,804730,804080,806030,803430,7362964,7365059,7356680,7313738
134,568121,568121,570071,566821,5204348,5204348,5197017,5168738
135,310061,311361,311361,308761,2853017,2850923,2847781,2833118
136,27301,27951,28601,26650,270219,266030,263935,268125
137,-243760,-241810,-242460,-244410,-2198416,-2204700,-2205748,-2184801
138,-505719,-503769,-504419,-505719,-4586405,-4592689,-4592689,-4556031
139,-759879,-757279,-758579,-760529,-6910504,-6917836,-6916788,-6864420
140,-973737,-971137,-972437,-974387,-8860695,-8870121,-8865932,-8802043
141,-1151194,-1147944,-1149894,-1151194,-10484108,-10493534,-10487250,-10411840
142,-1291599,-1287699,-1289649,-1290949,-11763986,-11775507,-11768176,-11685434
143,-1376102,-1371552,-1374802,-1375452,-12535893,-12547414,-12541130,-12451057
144,-1409903,-1406003,-1408603,-1409253,-12845913,-12858481,-12851149,-12760029
145,-1387802,-1384552,-1386502,-1387802,-12654245,-12664719,-12658435,-12568361
146,-1315000,-1311100,-1313700,-1315000,-11991264,-12001738,-11996501,-11908522
147,-1193445,-1190195,-1192145,-1193445,-10880012,-10888390,-10884201,-10806696
148,-1017939,-1015339,-1016639,-1017939,-9280688,-9288019,-9284877,-9217846
149,-811881,-809281,-810581,-811881,-7402765,-7410097,-7408002,-7352492
150,-576572,-573972,-574622,-576572,-5252528,-5257765,-5256717,-5214823
151,-305512,-303562,-303562,-305512,-2780750,-2784940,-2785987,-2761898
152,-35752,-34452,-34452,-37052,-323636,-326778,-328873,-321541
153,248959,248959,250259,247659,2272778,2271731,2266494,2258115
154,510269,510269,511569,508969,4656577,4656577,4650293,4626204
155,752728,752078,754028,751428,6869656,6871751,6863372,6823572
156,976986,975686,978936,975686,8916204,8919346,8909920,8856504
157,1153143,1151843,1155093,1152493,10532286,10535428,10523907,10460018
158,1287048,1285748,1288348,1285748,11752464,11756654,11745133,11672865
159,1376101,1373501,1376751,1374151,12565218,12568360,12556839,12479334
160,1408602,1406652,1409902,1407302,12860575,12865812,12852196,12774691
161,1387801,1385851,1389102,1386501,12678333,12682523,12669955,12593497
162,1310449,1309799,1313049,1309799,11983932,11988121,11976600,11901190
163,1188244,1187594,1189544,1187594,10864300,10867442,10856969,10789937
164,1021838,1020538,1023138,1020538,9340386,9342481,9332007,9275450
165,804730,804080,806680,804080,7370296,7371343,7362964,7321070
166,568121,568121,569421,567471,5208538,5208538,5201206,5172927
167,310711,311361,312011,309411,2858254,2856160,2850923,2838354
168,27951,28601,29251,27301,276503,272314,269172,273361
169,-243110,-241810,-241810,-243760,-2197369,-2201558,-2202606,-2182706
170,-505069,-503119,-503769,-505719,-4583263,-4589547,-4588500,-4551842
171,-759879,-756629,-757929,-759879,-6907362,-6915741,-6912599,-6861278
172,-973087,-970487,-972437,-973737,-8855458,-8863837,-8861742,-8796806
173,-1150544,-1147293,-1149244,-1151194,-10478871,-10487250,-10483061,-10406603
