offset,IA,IB,IC,IN,VA,VB,VC,VN
0,217758,217758,218408,216458,6229717,6231812,6223433,6187822
1,214508,214508,215158,213207,6131265,6132312,6123933,6089370
2,208657,209307,209957,207357,5978350,5980445,5971018,5937503
3,204757,205407,206057,204107,5872566,5874661,5866282,5832766
4,199557,199557,200207,198257,5710225,5711272,5703941,5671472
5,193707,193707,195007,192407,5544741,5545789,5538457,5507036
6,189807,189807,190457,188507,5431626,5432673,5425342,5394968
7,183306,183956,184606,182656,5258811,5259859,5251480,5222153
8,179406,179406,180706,178106,5139412,5140459,5133128,5104849
9,172906,173556,174206,171606,4958218,4958218,4950886,4923655
10,168356,169006,169656,167706,4835676,4835676,4829392,4803208
11,161856,161856,163156,160556,4648198,4648198,4640867,4616777
12,157305,157955,158605,156655,4519373,4520420,4513088,4488999
13,150155,150805,152105,150155,4325610,4325610,4319326,4296284
14,146255,146905,147555,144955,4193643,4193643,4187358,4165364
15,139105,139755,140405,137805,3993596,3993596,3987312,3966365
16,131304,132604,133254,130654,3789360,3789360,3783076,3764224
17,126754,128054,128704,126104,3652156,3652156,3645872,3628066
18,119604,120254,120904,118954,3442683,3443730,3437446,3420688
19,115054,115704,116354,113754,3303384,3302336,3296052,3280342
20,107254,107904,108554,106603,3089722,3089722,3083437,3069822
21,102053,103353,104003,101403,2944138,2944138,2937854,2925285
22,94253,94903,96203,93603,2727334,2726286,2720002,2708481
23,89053,89703,91003,88403,2580703,2579656,2573371,2562898
24,81903,82553,83203,80603,2359709,2358662,2353425,2343999
25,76702,77352,78002,75402,2210984,2208889,2204699,2196321
26,68902,69552,70202,67602,1985801,1984753,1979516,1972185
27,63052,64352,64352,62402,1837075,1833933,1829743,1823459
28,55252,55902,57202,54602,1609797,1607702,1603513,1598276
29,47451,48101,48751,46151,1379377,1377282,1373093,1370998
30,42251,42901,43551,41601,1226462,1224367,1220178,1218083
31,34451,35101,35101,33151,996042,993947,990805,989758
32,28601,29901,29901,27951,843127,839985,836843,837890
33,20800,21450,22100,19500,610612,606423,603281,605376
34,15600,16250,16900,14300,454555,451413,448271,451413
35,7150,7800,8450,6500,223088,220993,216804,222041
36,1950,2600,2600,650,69125,65983,62841,69125
37,-7151,-5851,-5851,-7801,-164437,-168626,-171768,-163389
38,-12351,-11701,-11051,-13001,-318399,-321541,-324683,-316304
39,-20801,-19501,-19501,-21451,-553008,-556150,-559293,-548819
40,-28602,-27952,-27302,-29902,-783428,-786570,-789713,-777144
41,-34452,-33152,-33152,-35102,-938438,-941580,-945770,-932154
42,-42252,-40952,-40952,-42902,-1168858,-1173048,-1175142,-1161527
43,-47452,-46802,-46152,-48752,-1321773,-1325963,-1328057,-1312347
44,-55903,-54603,-54603,-56553,-1552193,-1556383,-1558477,-1541719
45,-61103,-59803,-59803,-61753,-1703013,-1707203,-1710345,-1692540
46,-68903,-68253,-67603,-69553,-1929244,-1933433,-1936575,-1916676
47,-74103,-73453,-72803,-74753,-2080064,-2084254,-2086348,-2066448
48,-82554,-81254,-80604,-83204,-2302105,-2307342,-2308389,-2287442
49,-87754,-86454,-85804,-88404,-2450831,-2456068,-2458162,-2435120
50,-94904,-94254,-93604,-96204,-2670777,-2676014,-2677061,-2652972
51,-102704,-102054,-101404,-103354,-2888629,-2893866,-2894913,-2869776
52,-107905,-106604,-105954,-108555,-3034212,-3039449,-3040496,-3014312
53,-115055,-114405,-113755,-116355,-3246827,-3252064,-3253111,-3225880
54,-120255,-118955,-118305,-120905,-3389268,-3393458,-3394505,-3365179
55,-128055,-126105,-126105,-128055,-3597694,-3602931,-3603978,-3573604
56,-131955,-131305,-130655,-133255,-3734898,-3741183,-3742230,-3709762
57,-139106,-137806,-137806,-140406,-3941229,-3946466,-3947513,-3915045
