offset,IA,IB,IC,IN,VA,VB,VC,VN
58,-143656,-143006,-143006,-144956,-4074244,-4079481,-4080528,-4047013
59,-150806,-149506,-150156,-152106,-4273243,-4278480,-4278480,-4243917
60,-155356,-154056,-154056,-156656,-4403116,-4409400,-4409400,-4373790
61,-161857,-161207,-161207,-163807,-4596878,-4603163,-4603163,-4566505
62,-169007,-167057,-167707,-169657,-4785404,-4790641,-4790641,-4753983
63,-172907,-171607,-172257,-174207,-4907945,-4914230,-4913182,-4875477
64,-179407,-178107,-178107,-180707,-5090187,-5096471,-5095423,-5055624
65,-183307,-182657,-182657,-184607,-5208539,-5214823,-5213776,-5173976
66,-189808,-188508,-188508,-191108,-5384496,-5390780,-5390780,-5348885
67,-193708,-192408,-192408,-195008,-5497611,-5504943,-5503895,-5460953
68,-199558,-198258,-198258,-200858,-5664142,-5670426,-5670426,-5626437
69,-203458,-201508,-202158,-204758,-5774115,-5780399,-5780399,-5735362
70,-209308,-207358,-208008,-209958,-5932267,-5938551,-5937504,-5892467
71,-212558,-210608,-211258,-213859,-6037003,-6044335,-6042240,-5996156
72,-217759,-216459,-216459,-219059,-6187823,-6195155,-6194108,-6146976
73,-221659,-219709,-220359,-222309,-6286276,-6292560,-6291512,-6244381
74,-226209,-224909,-224909,-227509,-6427670,-6435001,-6432907,-6383680
75,-230759,-229459,-230109,-232059,-6563827,-6570111,-6569064,-6518790
76,-234009,-232709,-232709,-235309,-6651805,-6659137,-6658090,-6606769
77,-238559,-237259,-237259,-239859,-6779584,-6787963,-6785868,-6734547
78,-241160,-240510,-240510,-242460,-6860231,-6867562,-6865468,-6813099
79,-245710,-244410,-244410,-247010,-6979630,-6988009,-6985914,-6932499
80,-248310,-247010,-247010,-249610,-7055040,-7062372,-7061325,-7007909
81,-252210,-250910,-250910,-253510,-7163966,-7170250,-7169203,-7114740
82,-254810,-253510,-253510,-255460,-7232045,-7239376,-7237282,-7181771
83,-258060,-256760,-257410,-258710,-7328402,-7335734,-7334686,-7279176
84,-260010,-259360,-259360,-261310,-7391244,-7398576,-7396481,-7339923
85,-263260,-261960,-262610,-263910,-7480270,-7487601,-7485507,-7428949
86,-266510,-265210,-265210,-267161,-7560917,-7568248,-7567201,-7509596
87,-267811,-266510,-266510,-268461,-7612238,-7618522,-7616427,-7559870
88,-270411,-269111,-269111,-271061,-7682411,-7688695,-7686601,-7630043
89,-272361,-270411,-270411,-272361,-7725353,-7732685,-7730590,-7672985
90,-273661,-272361,-272361,-274311,-7786100,-7793432,-7791337,-7733732
91,-275611,-274311,-273661,-276261,-7823805,-7831137,-7829042,-7770390
92,-276911,-275611,-275611,-277561,-7870936,-7879315,-7876173,-7817521
93,-278211,-276261,-276261,-278861,-7902357,-7909689,-7906547,-7847894
94,-279511,-277561,-277561,-280161,-7939015,-7945299,-7943205,-7884552
95,-280161,-278211,-278211,-280811,-7959962,-7967294,-7964152,-7906547
96,-280811,-279511,-279511,-282111,-7987194,-7995573,-7992431,-7933778
97,-281461,-280161,-280161,-282761,-8008141,-8015473,-8012331,-7953678
98,-282111,-280811,-280161,-282761,-8017567,-8023852,-8021757,-7963104
99,-282111,-280811,-280161,-282761,-8026994,-8034325,-8031183,-7971483
100,-282761,-280811,-280811,-282761,-8029088,-8036420,-8034325,-7974625
101,-282761,-280811,-280811,-282761,-8028041,-8035373,-8033278,-7973578
102,-282111,-280811,-280811,-282761,-8021757,-8029088,-8026994,-7967294
103,-281461,-280161,-280161,-282761,-8008141,-8015473,-8013378,-7953678
104,-281461,-279511,-279511,-282111,-7995573,-8003952,-8000810,-7942157
105,-280161,-278861,-278861,-280811,-7970436,-7978815,-7976720,-7917020
106,-279511,-278211,-278211,-280161,-7949489,-7957868,-7955773,-7896073
107,-278211,-276911,-276911,-278861,-7914926,-7922257,-7920163,-7860463
108,-276911,-275611,-275611,-277561,-7871984,-7880363,-7878268,-7819616
109,-275611,-274311,-274311,-276911,-7840563,-7847894,-7846847,-7787147
110,-273661,-272361,-272361,-274961,-7786100,-7794479,-7792384,-7733732
111,-272361,-271061,-271061,-273661,-7747348,-7755727,-7753632,-7694979
112,-270411,-269111,-269111,-271061,-7683458,-7690790,-7689743,-7631090
113,-269111,-267161,-267161,-269761,-7637374,-7644706,-7642611,-7585006
114,-265860,-264560,-264560,-267161,-7563012,-7571391,-7569296,-7512738
115,-263910,-263260,-262610,-265210,-7510643,-7517975,-7515880,-7458275
116,-261310,-260010,-260010,-261960,-7423712,-7431044,-7428949,-7373439
117,-259360,-257410,-257410,-260010,-7361918,-7369249,-7368202,-7312692
118,-255460,-254160,-254160,-256760,-7267655,-7274987,-7273939,-7218429
119,-253510,-251560,-252210,-254160,-7201671,-7209003,-7206908,-7152445
120,-249610,-248310,-248310,-250260,-7095888,-7103219,-7102172,-7047709
121,-245710,-244410,-244410,-246360,-6982772,-6990104,-6989056,-6935641
122,-243110,-241810,-241160,-243760,-6905267,-6912599,-6911552,-6858136
123,-239209,-237259,-237259,-239209,-6783773,-6791105,-6790057,-6737689
124,-235959,-234659,-234009,-236609,-6698937,-6706268,-6705221,-6653900
125,-231409,-229459,-230109,-232059,-6570111,-6577443,-6575348,-6525075
126,-228159,-226859,-226859,-228809,-6478991,-6485275,-6485275,-6435001
127,-222959,-221659,-221659,-224259,-6337596,-6344928,-6343881,-6295702
128,-219709,-218409,-218409,-220359,-6242286,-6248571,-6247523,-6199344
129,-215159,-213208,-213208,-215159,-6093561,-6099845,-6098798,-6051666
130,-210608,-209308,-209958,-211908,-5991967,-5998251,-5997203,-5950072
131,-205408,-204108,-204108,-206058,-5833815,-5840099,-5839051,-5794015
132,-199558,-198908,-198258,-200208,-5671473,-5677758,-5676710,-5632721
133,-195658,-195008,-194358,-196308,-5559405,-5566737,-5565690,-5522748
134,-189808,-188508,-188508,-190458,-5390780,-5397064,-5397064,-5354122
135,-185907,-184607,-184607,-186557,-5273475,-5279759,-5280807,-5238912
136,-179407,-178757,-178107,-180057,-5097518,-5103802,-5103802,-5062955
137,-175507,-174207,-174207,-176157,-4976024,-4982308,-4982308,-4942508
138,-169007,-168357,-167707,-169657,-4791688,-4796925,-4796925,-4759220
139,-164457,-163807,-163157,-165757,-4667052,-4672289,-4673336,-4635631
140,-157306,-156656,-156656,-158606,-4475384,-4480621,-4481669,-4445011
141,-153406,-152106,-152106,-154056,-4345511,-4350748,-4350748,-4315138
142,-146256,-145606,-144956,-147556,-4149654,-4154891,-4154891,-4121375
143,-139106,-138456,-137806,-140406,-3947513,-3952750,-3954845,-3921329
144,-134556,-133255,-133255,-135856,-3813451,-3818687,-3820782,-3788314
145,-127405,-126105,-125455,-128055,-3605025,-3609215,-3611310,-3580936
146,-122205,-120905,-120905,-123505,-3467821,-3472010,-3473058,-3443731
147,-115055,-113755,-113755,-116355,-3257301,-3261490,-3262538,-3234259
148,-109855,-108555,-108555,-111155,-3113812,-3116954,-3119049,-3091817
149,-102054,-101404,-100754,-103354,-2897008,-2899102,-2902244,-2876060
150,-97504,-96204,-96204,-98154,-2752472,-2756661,-2757708,-2733619
151,-89704,-88404,-88404,-90354,-2534620,-2536715,-2538809,-2515767
152,-84504,-83204,-83204,-85154,-2386942,-2390084,-2391131,-2370184
153,-76703,-76053,-75403,-77353,-2162806,-2164901,-2166995,-2147095
154,-71503,-70203,-70203,-72153,-2014080,-2016175,-2019317,-1999417
155,-63703,-62403,-62403,-64353,-1786802,-1788897,-1790992,-1773187
156,-55253,-54603,-53953,-55903,-1560572,-1562667,-1565809,-1550098
157,-50052,-49402,-48752,-50702,-1406610,-1408704,-1411846,-1397183
158,-41602,-40952,-40952,-42902,-1178284,-1180379,-1183521,-1170953
159,-36402,-36402,-35752,-37702,-1024322,-1026417,-1028511,-1016990
160,-28602,-27952,-27302,-29902,-791807,-793902,-797044,-786570
161,-23401,-22101,-22101,-24051,-636797,-638892,-642034,-632608
162,-14951,-14301,-13651,-16251,-406378,-408472,-411614,-403235
163,-9751,-8451,-8451,-10401,-250320,-252415,-255557,-248226
164,-1301,0,650,-2601,-17806,-19900,-23042,-17806
165,4550,5850,5850,3900,138251,136157,131967,137204
166,13000,13650,13650,11700,370766,368671,365529,368671
167,20800,21450,22100,19500,603281,600139,596997,598044
168,26650,27301,27301,25350,757243,755149,750959,752006
169,34451,35751,35751,33151,989758,987663,983474,982426
170,39651,40301,40951,39001,1141626,1138484,1135341,1133247
171,47451,48751,48751,46801,1370998,1368903,1364714,1361572
172,53301,53952,54602,52001,1524961,1522866,1518676,1514487
173,61102,61752,62402,59802,1752238,1750144,1745954,1740717
174,66302,66952,67602,65652,1903059,1900964,1896775,1890490
175,74102,74752,75402,73452,2126147,2126147,2120910,2112531
176,79302,79952,80603,78652,2276968,2276968,2271731,2262304
177,87103,88403,89053,85803,2499009,2497961,2492724,2482251
178,94903,95553,96203,94253,2717908,2717908,2712671,2700102
179,100103,100753,102053,98803,2864538,2863491,2858254,2845686
180,107904,108554,109204,106603,3080295,3080295,3074011,3060395
181,113104,113754,114404,111804,3222737,3222737,3217500,3201789
182,120254,120904,121554,118954,3434304,3434304,3428020,3411262
183,124804,125454,126754,123504,3573603,3574651,3568367,3549514
184,132604,132604,133905,131304,3782029,3782029,3775745,3755845
185,137155,137805,138455,135855,3918186,3919233,3911902,3892002
186,144305,144305,145605,143005,4119280,4119280,4112996,4091001
187,148855,148855,150155,147555,4251248,4251248,4244963,4221921
188,156005,156005,157305,154705,4447105,4448152,4440820,4417778
189,162506,162506,163806,161206,4639819,4639819,4633535,4608398
190,166406,167056,168356,165756,4765503,4765503,4759219,4734082
191,172906,173556,174856,172256,4950886,4950886,4944602,4917371
192,177456,178106,179406,176156,5071333,5072380,5065049,5036770
193,183306,183956,185256,182656,5251480,5251480,5244148,5214822
194,187207,187857,189157,186556,5368784,5369832,5361453,5332127
195,193707,194357,195007,192407,5538457,5540552,5532173,5501799
196,197607,198257,198907,196307,5649478,5650525,5642146,5611773
197,202807,203457,204757,202157,5813914,5814961,5806582,5774114
198,206707,207357,208657,205407,5918650,5919697,5911319,5877803
199,212557,212557,213858,211257,6074707,6076802,6067376,6033860
200,215808,216458,217758,215158,6175254,6177349,6168970,6133360
201,221008,221008,222308,219708,6319790,6321885,6313506,6277896
202,226208,226208,227508,224908,6461184,6463279,6454900,6419290
203,229458,229458,230758,228158,6553352,6555447,6547068,6510410
204,234008,234008,235308,232708,6684273,6687415,6677989,6640283
205,236608,237258,237908,235308,6771204,6773299,6764920,6726167
206,241159,241809,242459,239858,6893745,6895840,6886414,6847661
207,243759,244409,245059,243109,6972298,6974392,6966013,6925166
208,248309,248309,249609,247009,7084366,7086460,7078081,7037234
209,250909,250909,251559,248959,7156634,7158728,7150349,7108455
210,254159,254809,255459,252859,7260323,7262417,7254038,7212144
211,256109,256759,258059,254809,7324212,7326307,7317928,7276033
212,259359,260009,261309,258059,7418474,7420569,7412190,7368201
213,262609,263259,263909,261309,7505406,7507500,7499121,7454085
214,264559,265209,266509,263259,7560916,7563011,7554632,7509595
215,267160,267160,269110,265209,7636326,7638421,7630042,7586053
216,268460,269110,270410,267160,7682410,7684505,7676126,7631089
217,270410,271060,272360,269760,7748394,7750489,7742110,7697073
218,272360,272360,273660,271060,7789241,7790288,7781910,7736873
219,274310,274310,275610,273010,7842657,7844751,7836372,7790288
220,274960,274960,276910,274310,7876172,7878267,7868841,7822757
221,276910,276910,278210,275610,7919114,7922256,7912830,7866746
222,277560,277560,278860,276910,7945298,7947393,7939014,7891883
223,278860,278860,280160,278210,7978814,7980909,7970435,7924351
224,279510,280160,281460,278860,8003951,8006045,7996619,7949488
225,280160,280810,281460,279510,8017566,8020708,8011282,7964151
226,280810,280810,282110,279510,8032229,8034324,8025945,7977767
227,280810,281460,282110,280160,8037466,8039561,8031182,7983003
228,281460,281460,282110,280160,8040608,8043750,8034324,7987193
229,280810,281460,282110,280160,8040608,8043750,8034324,7986145
230,280810,280810,282110,279510,8032229,8035372,8025945,7977767
231,280810,280810,282110,279510,8023851,8026993,8017566,7970435
232,280160,280160,281460,278210,8003951,8007093,7997666,7950535
233,279510,279510,280810,277560,7987193,7991382,7981956,7934825
234,278210,278210,279510,276910,7957867,7961009,7951582,7904451
235,277560,276910,278210,275610,7922256,7925398,7914925,7868841
236,276260,276260,277560,274960,7892930,7896072,7886646,7840562
237,274310,274310,275610,273010,7845799,7848941,7838467,7793431
238,273010,273010,274310,271710,7809141,7812283,7802857,7757820
239,271060,271060,272360,269760,7751536,7754678,7744205,7700215
240,269760,269760,270410,268460,7708594,7711736,7702310,7657273
241,267160,267160,267810,265859,7639468,7642610,7632137,7589195
242,265209,265209,266509,263909,7589195,7592337,7582911,7537874
243,262609,262609,263259,261309,7509595,7512737,7503311,7459322
244,260659,260659,261309,259359,7451990,7455132,7445706,7402764
245,257409,257409,258059,256109,7360869,7362964,7354585,7312691
246,254809,255459,256109,254159,7296980,7299075,7289649,7248802
247,251559,252209,252859,250909,7196433,7198528,7190149,7149302
248,247659,248309,248959,246359,7090650,7091697,7083318,7043518
249,245059,245059,246359,243759,7017334,7018382,7010003,6970203
250,241159,241159,242459,239858,6900030,6902124,6893745,6853946
251,237908,238558,239858,237258,6819383,6820430,6812051,6773299
252,234008,234008,235308,232708,6691604,6692652,6684273,6646568
253,230758,230758,232058,229458,6604673,6606768,6598389,6560684
254,226208,226208,227508,224908,6469563,6471658,6463279,6426621
255,222958,222958,224258,221658,6376348,6378443,6370064,6334453
256,217758,217758,219058,216458,6231812,6233906,6224480,6189917
257,214508,214508,215808,213207,6133360,6134407,6127075,6091465
258,208657,208657,210607,208007,5979397,5981492,5972066,5938550
259,203457,203457,204757,202157,5821245,5822293,5814961,5781445
260,199557,199557,200857,198257,5712320,5713367,5706035,5673567
261,193707,193707,195007,192407,5547883,5548931,5541599,5510178
262,189807,190457,191107,188507,5433721,5435816,5427437,5398110
263,183956,183956,184606,182656,5259859,5261953,5253574,5224248
264,179406,180056,180706,178106,5141506,5141506,5135222,5105896
265,173556,173556,174206,172256,4960313,4961360,4954028,4927844
266,169006,169656,169656,167706,4836724,4837771,4830440,4805303
267,161856,162506,163806,161206,4650293,4650293,4644009,4618872
268,157955,157955,159255,156655,4522515,4522515,4516230,4492141
269,150805,151455,152105,150155,4327705,4327705,4321421,4299426
270,144305,144305,144955,143005,4129753,4129753,4123469,4102522
271,139105,139755,140405,138455,3997786,3997786,3991501,3970554
272,131954,132604,133905,131304,3792502,3792502,3787266,3767366
273,127404,128054,128704,126104,3654250,3654250,3647966,3629114
274,120254,120254,121554,118954,3445825,3445825,3440588,3422783
275,115054,115704,116354,113754,3305478,3305478,3299194,3283484
276,107254,108554,108554,106603,3091816,3091816,3086579,3071916
277,102053,103353,103353,101403,2948327,2947280,2942043,2928428
278,94903,95553,96203,93603,2730476,2729429,2724192,2711623
279,89703,90353,91003,88403,2584892,2583845,2578608,2567087
280,81903,82553,83203,80603,2363899,2361804,2356567,2348188
281,74102,74752,74752,73452,2139763,2137668,2133479,2125100
282,68902,69552,70202,67602,1988943,1986848,1981611,1975327
283,60452,61752,61752,59802,1764807,1761665,1757475,1752238
284,55252,56552,57202,54602,1611892,1609797,1605608,1600371
285,47451,48751,48751,46801,1382519,1380424,1375188,1373093
286,42251,42901,43551,41601,1230651,1227509,1223320,1221225
287,33801,35101,35101,33151,1000232,997089,992900,992900
288,28601,29901,29901,27951,845222,842080,837890,838938
289,20800,21450,22100,20150,614802,610612,607470,609565
290,15600,16250,16900,14300,458745,455603,451413,454555
291,7150,8450,8450,6500,226230,223088,219946,224135
292,1950,2600,3250,650,72268,70173,65983,72268
293,-7151,-5851,-5851,-7801,-162342,-165484,-169673,-161294
294,-14951,-14301,-13651,-16251,-393809,-397999,-400093,-391714
295,-20801,-19501,-19501,-21451,-548819,-551961,-554056,-544629
296,-28602,-27302,-27302,-29902,-781334,-785523,-787618,-776097
297,-34452,-33152,-32502,-35102,-935296,-939485,-941580,-929012
298,-42252,-40952,-40952,-42902,-1166763,-1169905,-1172000,-1158384
299,-47452,-46152,-46152,-48752,-1317584,-1321773,-1324915,-1309205
300,-55903,-53953,-53953,-56553,-1550098,-1554288,-1556383,-1539625
301,-61103,-59803,-59803,-62403,-1700919,-1704061,-1707203,-1689398
302,-68903,-67603,-67603,-69553,-1926102,-1929244,-1932386,-1912486
303,-74103,-72803,-72803,-74753,-2075875,-2080064,-2082159,-2062259
304,-82554,-80604,-80604,-83204,-2300011,-2304200,-2306295,-2284300
305,-89704,-88404,-88404,-90354,-2523099,-2527288,-2528336,-2505294
306,-94904,-93604,-93604,-95554,-2669730,-2673919,-2674967,-2651925
307,-102704,-101404,-101404,-103354,-2885487,-2889676,-2891771,-2866634
308,-107255,-106604,-105954,-108555,-3031070,-3036307,-3037354,-3011170
309,-115055,-113755,-113755,-115705,-3245780,-3249969,-3251017,-3222738
310,-120255,-118955,-118305,-120905,-3386126,-3391363,-3391363,-3363084
311,-127405,-126105,-126105,-128705,-3595599,-3600836,-3601883,-3571510
312,-132605,-131305,-130655,-133255,-3732804,-3740135,-3740135,-3707667
313,-139756,-138456,-137806,-140406,-3938087,-3943324,-3943324,-3910855
314,-143656,-143006,-142356,-144956,-4073197,-4078434,-4078434,-4044918
315,-150806,-150156,-149506,-152106,-4270101,-4276385,-4276385,-4241822
316,-157956,-156656,-156006,-159256,-4464911,-4471195,-4471195,-4435585
317,-162507,-161207,-160557,-163157,-4594784,-4601068,-4601068,-4563363
318,-169007,-167707,-167707,-169657,-4781214,-4787499,-4788546,-4748746
319,-173557,-172257,-172257,-174207,-4905851,-4912135,-4912135,-4873382
320,-179407,-178107,-178107,-180707,-5088092,-5094376,-5094376,-5053529
321,-183957,-182007,-182657,-184607,-5206444,-5213776,-5212728,-5170834
322,-189808,-188508,-188508,-191108,-5382401,-5389733,-5389733,-5346791
323,-193708,-192408,-193058,-195008,-5496564,-5502848,-5502848,-5459906
324,-199558,-198258,-198258,-200858,-5662047,-5669379,-5668331,-5624342
325,-203458,-202158,-202158,-204108,-5772020,-5779352,-5779352,-5734315
326,-209308,-207358,-208008,-209958,-5931219,-5938551,-5937504,-5891420
327,-214509,-212558,-213208,-215159,-6086229,-6093561,-6092513,-6046429
328,-217759,-216459,-216459,-219059,-6185729,-6193060,-6193060,-6144882
329,-222959,-221659,-221659,-223609,-6330265,-6337596,-6336549,-6287323
330,-226209,-224909,-224909,-226859,-6426622,-6432907,-6432907,-6383680
331,-230759,-229459,-229459,-232059,-6561732,-6568016,-6566969,-6516696
332,-234009,-232709,-232709,-234659,-6649711,-6657042,-6655995,-6604674
333,-238559,-237259,-237259,-239209,-6779584,-6785868,-6784821,-6733500
334,-241160,-239859,-239859,-241810,-6860231,-6867562,-6866515,-6814147
335,-245710,-244410,-244410,-246360,-6977535,-6984867,-6983820,-6930404
336,-248310,-247010,-247010,-248960,-7053993,-7060277,-7059230,-7005814
337,-252210,-250910,-250910,-252860,-7161871,-7169203,-7167108,-7113693
338,-254810,-253510,-252860,-255460,-7228903,-7236234,-7234140,-7179677
339,-258060,-256760,-256110,-258710,-7328402,-7335734,-7334686,-7279176
340,-261310,-260010,-260010,-261960,-7420570,-7427902,-7425807,-7370297
341,-263260,-261960,-261960,-263910,-7478175,-7484459,-7483412,-7425807
342,-266510,-264560,-264560,-267161,-7557775,-7566154,-7564059,-7507501
343,-267811,-266510,-266510,-268461,-7610143,-7617475,-7615380,-7558822
344,-270411,-269111,-269111,-271061,-7681364,-7689743,-7687648,-7630043
345,-271711,-270411,-270411,-273011,-7725353,-7732685,-7731637,-7672985
346,-274311,-272361,-272361,-274961,-7786100,-7793432,-7791337,-7732685
347,-274961,-273661,-273661,-276261,-7820663,-7829042,-7826947,-7768295
348,-276911,-275611,-275611,-278211,-7869889,-7877221,-7876173,-7816474
349,-278211,-276261,-276261,-278861,-7899215,-7907594,-7905499,-7846847
350,-279511,-277561,-277561,-280161,-7937968,-7946347,-7944252,-7884552
351,-280811,-278861,-278861,-281461,-7968341,-7976720,-7974625,-7915973
352,-281461,-279511,-279511,-282111,-7986146,-7994525,-7992431,-7932731
353,-282111,-280161,-280161,-282761,-8006046,-8014425,-8012331,-7952631
354,-282111,-280161,-280161,-282761,-8016520,-8024899,-8021757,-7963104
355,-282761,-280811,-280811,-283411,-8025946,-8034325,-8032230,-7972531
356,-282761,-280811,-280811,-283411,-8029088,-8036420,-8034325,-7974625
357,-282111,-280811,-280811,-283411,-8026994,-8034325,-8033278,-7972531
358,-282111,-280811,-280811,-283411,-8020709,-8029088,-8025946,-7966247
359,-281461,-280161,-280161,-282761,-8008141,-8015473,-8013378,-7953678
360,-281461,-279511,-280161,-282111,-7994525,-8001857,-7999762,-7940062
361,-280161,-278861,-278861,-281461,-7972531,-7979862,-7977768,-7918068
362,-279511,-277561,-278211,-280161,-7941110,-7948441,-7945299,-7885600
363,-278211,-276911,-276911,-279511,-7915973,-7923305,-7921210,-7861510
364,-276911,-275611,-275611,-277561,-7873031,-7880363,-7878268,-7819616
365,-275611,-274311,-274311,-276261,-7841610,-7848942,-7846847,-7788195
366,-274311,-272361,-272361,-274311,-7788195,-7795526,-7793432,-7734779
367,-272361,-271061,-271061,-273011,-7750490,-7757821,-7755727,-7697074
368,-269761,-269111,-269111,-271061,-7686601,-7692885,-7690790,-7633185
369,-268461,-267161,-267161,-269111,-7639469,-7646801,-7644706,-7588148
370,-265860,-265210,-264560,-266510,-7564059,-7571391,-7569296,-7512738
371,-263910,-262610,-262610,-265210,-7510643,-7517975,-7515880,-7458275
372,-261310,-260010,-260010,-261960,-7424760,-7432091,-7431044,-7375534
373,-257410,-256760,-256760,-258710,-7332592,-7339923,-7338876,-7283366
374,-255460,-254160,-254160,-256110,-7269750,-7276034,-7274987,-7220524
375,-251560,-250910,-250910,-252860,-7168156,-7174440,-7173392,-7118930
376,-248960,-247660,-248310,-250260,-7096935,-7103219,-7102172,-7048756
377,-245060,-244410,-243760,-246360,-6984867,-6992199,-6991151,-6937736
378,-242460,-241160,-241810,-243760,-6907362,-6913646,-6912599,-6860231
379,-238559,-237259,-237259,-239859,-6784821,-6792152,-6791105,-6738737
380,-235959,-234009,-234659,-236609,-6702079,-6708363,-6707316,-6657042
381,-230759,-229459,-230109,-232709,-6570111,-6577443,-6576395,-6526122
382,-227509,-226209,-226859,-228809,-6478991,-6486322,-6485275,-6435001
383,-222959,-221659,-221659,-224259,-6341786,-6348070,-6347023,-6297797
384,-219709,-218409,-218409,-221009,-6245428,-6251713,-6251713,-6202487
385,-214509,-213208,-213208,-215809,-6095656,-6101940,-6101940,-6054808
386,-209308,-208008,-208008,-209958,-5941693,-5947977,-5946930,-5900846
387,-205408,-204108,-204108,-206708,-5834862,-5841146,-5840099,-5795062
388,-200208,-198258,-198908,-200858,-5674615,-5680900,-5679852,-5635863
389,-196308,-195008,-194358,-196958,-5563595,-5569879,-5568832,-5525890
390,-189808,-189158,-188508,-191108,-5393922,-5400206,-5399159,-5357264
391,-185907,-185257,-184607,-186557,-5278712,-5283949,-5283949,-5242054
392,-179407,-178757,-178107,-180707,-5098566,-5104850,-5104850,-5065050
393,-175507,-174207,-174207,-176157,-4978119,-4983356,-4983356,-4944603
394,-169007,-167707,-167707,-169657,-4794830,-4800067,-4800067,-4762362
395,-164457,-163157,-163157,-165107,-4669147,-4675431,-4675431,-4637726
396,-157956,-156656,-156656,-158606,-4478526,-4484811,-4484811,-4448153
397,-150806,-149506,-149506,-151456,-4281622,-4286859,-4287906,-4253343
398,-146256,-144956,-144956,-146906,-4149654,-4155938,-4155938,-4122423
399,-139106,-137806,-137806,-140406,-3951703,-3955892,-3956939,-3924471
400,-134556,-133255,-133255,-135206,-3814498,-3819735,-3819735,-3788314
401,-127405,-126105,-126105,-128055,-3608167,-3612357,-3614452,-3584078
402,-122205,-121555,-120905,-123505,-3470963,-3474105,-3476200,-3446873
403,-115055,-113755,-113755,-116355,-3259395,-3263585,-3264632,-3235306
404,-110505,-108555,-108555,-111155,-3115907,-3120096,-3121143,-3094959
