1, 0, 1408602, 1406652, 1409902, 1406652, 12863717, 12867906, 12856385, 12776786
2, 1, 1387151, 1385851, 1388452, 1385851, 12676239, 12681476, 12668907, 12591402
3, 2, 1315649, 1313699, 1316949, 1313699, 12018495, 12022684, 12011163, 11935753
4, 3, 1187594, 1185644, 1188894, 1185644, 10849637, 10852779, 10842305, 10775274
5, 4, 1019888, 1019238, 1021188, 1018588, 9323629, 9325723, 9315250, 9259739
6, 5, 814480, 813830, 815130, 812530, 7448848, 7450943, 7442564, 7398575
7, 6, 566821, 566171, 568121, 565521, 5187590, 5187590, 5180259, 5151980
8, 7, 308111, 308111, 309411, 307461, 2834165, 2833118, 2827881, 2815312
9, 8, 39001, 39651, 39651, 38351, 376003, 372861, 370766, 372861
10, 9, -245710, -243760, -244410, -246360, -2219364, -2224600, -2225648, -2205748
11, 10, -507670, -505719, -506369, -507670, -4605257, -4612589, -4610494, -4574884
12, 11, -761829, -759229, -760529, -761829, -6928309, -6935641, -6933546, -6881178
13, 12, -975037, -972437, -974387, -975037, -8873263, -8881642, -8878500, -8813564
14, 13, -1152494, -1148594, -1150544, -1152494, -10493534, -10502961, -10497724, -10421266
15, 14, -1291599, -1288349, -1290949, -1292249, -11772365, -11781791, -11775507, -11691718
16, 15, -1376102, -1371552, -1374802, -1376102, -12539035, -12550556, -12544272, -12454199
17, 16, -1409903, -1405353, -1407953, -1409903, -12843818, -12854292, -12848007, -12756887
18, 17, -1387152, -1383902, -1386502, -1387802, -12651103, -12661577, -12654245, -12565219
19, 18, -1313700, -1310450, -1313050, -1314350, -11981838, -11993359, -11986027, -11900143
20, 19, -1192145, -1188895, -1190845, -1192145, -10869538, -10878964, -10874775, -10796222
21, 20, -1016639, -1013388, -1015339, -1017289, -9264977, -9273356, -9269167, -9201088
22, 21, -809931, -807331, -809281, -810581, -7387055, -7394386, -7392291, -7336781
23, 22, -573972, -572022, -572672, -574622, -5233675, -5238912, -5238912, -5197018
24, 23, -302912, -301612, -301612, -303562, -2761898, -2766087, -2768182, -2743045
25, 24, -33802, -33152, -33152, -35102, -301641, -304783, -306878, -299546
26, 25, 237258, 237908, 238558, 236608, 2169089, 2166994, 2163852, 2154426
27, 26, 512219, 512869, 513519, 511569, 4674382, 4674382, 4667051, 4642961
28, 27, 754678, 754028, 755328, 752728, 6887461, 6887461, 6880130, 6839283
29, 28, 968536, 967886, 970486, 967886, 8841841, 8843936, 8834510, 8782142
30, 29, 1154443, 1153143, 1156393, 1153143, 10542760, 10544854, 10534381, 10470491
31, 30, 1287698, 1286398, 1289648, 1285748, 11760843, 11763985, 11752464, 11681244
32, 31, 1372851, 1371551, 1374151, 1371551, 12542176, 12547413, 12534845, 12458387
33, 32, 1407952, 1406652, 1409902, 1407302, 12861622, 12865812, 12854291, 12774691
34, 33, 1387801, 1385851, 1388452, 1385851, 12674144, 12678333, 12666812, 12588260
35, 34, 1315649, 1313699, 1316949, 1314349, 12023731, 12026873, 12015352, 11940990
